count,latitude,longitude,city,region_country,reason
1,59.85813,17.64462,,,Confirmed Contributor
1,35.88194,-106.30772,,,Confirmed Contributor
1,37.43076,-121.89751,,,Confirmed Contributor
1,18.5289,73.87435,,,Confirmed Contributor
1,31.16899,-81.50248,,,Confirmed Contributor
2,30.44074,-84.27833,,,Confirmed Contributor
1,45.32384,-92.17097,,,Confirmed Contributor
1,48.69901,2.18786,,,Confirmed Contributor
1,25.92883,-80.45325,,,Confirmed Contributor
3,-33.87276,151.20534,,,Confirmed Contributor
1,50.11088,8.67949,,,Confirmed Contributor
1,29.91224,-90.05157,,,Confirmed Contributor
1,25.43951,81.8493,,,Confirmed Contributor
1,44.69624,10.6279,,,Confirmed Contributor
1,45.67929,-111.04661,,,Confirmed Contributor
2,51.33969,12.37136,,,Confirmed Contributor
1,49.57168,0.47076,,,Confirmed Contributor
1,13.86281,100.51451,,,Confirmed Contributor
1,48.77711,9.18077,,,Confirmed Contributor
1,30.68015,76.72227,,,Confirmed Contributor
1,47.06955,15.43818,,,Confirmed Contributor
1,15.58383,120.92204,,,Confirmed Contributor
1,36.91023,-121.75687,,,Confirmed Contributor
1,45.85962,0.24363,,,Confirmed Contributor
1,3.45298,-76.51878,,,Confirmed Contributor
1,24.80739,-107.39444,,,Confirmed Contributor
2,48.13913,11.58022,,,Confirmed Contributor
1,51.11365,22.38896,,,Confirmed Contributor
1,38.67249,-90.37579,,,Confirmed Contributor
1,42.85566,-78.95975,,,Confirmed Contributor
1,36.14137,-115.32403,,,Confirmed Contributor
1,54.72103,-5.79111,,,Confirmed Contributor
1,44.05809,-121.31515,,,Confirmed Contributor
1,42.0034,-88.00921,,,Confirmed Contributor
1,51.47385,17.85235,,,Confirmed Contributor
1,42.6524,-83.13256,,,Confirmed Contributor
1,41.45975,-81.9218,,,Confirmed Contributor
1,-37.02928,-73.14446,,,Confirmed Contributor
1,24.9929,121.30097,,,Confirmed Contributor
1,43.53965,-80.55354,,,Confirmed Contributor
1,3.3062,101.5627,,,Confirmed Contributor
1,44.94372,-93.09428,,,Confirmed Contributor
1,49.55309,8.23601,,,Confirmed Contributor
1,42.88442,74.57662,,,Confirmed Contributor
1,37.37368,-122.03657,,,Confirmed Contributor
1,43.65688,3.96995,,,Confirmed Contributor
1,36.15533,-95.99208,,,Confirmed Contributor
1,37.60363,-122.3972,,,Confirmed Contributor
1,26.868,80.7876,,,Confirmed Contributor
1,48.24883,11.65112,,,Confirmed Contributor
1,41.58882,-93.62031,,,Confirmed Contributor
1,50.08404,9.20708,,,Confirmed Contributor
1,53.58369,9.69867,,,Confirmed Contributor
1,48.7549,-122.47812,,,Confirmed Contributor
1,40.06089,-105.1784,,,Confirmed Contributor
1,40.71973,-111.83444,,,Confirmed Contributor
1,51.26734,5.08427,,,Confirmed Contributor
1,33.79149,-117.8531,,,Confirmed Contributor
1,32.49667,35.49663,,,Confirmed Contributor
1,30.63325,-97.67698,,,Confirmed Contributor
1,49.28506,-122.79459,,,Confirmed Contributor
1,43.61579,-116.20158,,,Confirmed Contributor
1,48.97956,2.05897,,,Confirmed Contributor
1,64.54315,-21.91223,,,Confirmed Contributor
1,32.03431,34.74433,,,Confirmed Contributor
1,35.07381,-85.09665,,,Confirmed Contributor
1,44.82274,-93.22133,,,Confirmed Contributor
1,33.68576,-79.00334,,,Confirmed Contributor
1,38.80466,-77.04361,,,Confirmed Contributor
1,37.93417,-122.53571,,,Confirmed Contributor
1,41.36759,-75.73821,,,Confirmed Contributor
1,37.90176,-122.06192,,,Confirmed Contributor
1,25.03841,121.5637,,,Confirmed Contributor
1,40.55187,-85.66814,,,Confirmed Contributor
1,47.33781,15.03039,,,Confirmed Contributor
1,48.70798,2.48214,,,Confirmed Contributor
1,64.10548,-21.8681,,,Confirmed Contributor
1,26.66106,-80.25384,,,Confirmed Contributor
1,38.97547,-77.64056,,,Confirmed Contributor
1,38.63536,-90.20099,,,Confirmed Contributor
2,-27.59691,-48.54958,,,Confirmed Contributor
1,55.60331,13.00131,,,Confirmed Contributor
1,13.10124,77.58999,,,Confirmed Contributor
1,43.59129,-79.65025,,,Confirmed Contributor
1,43.27296,-79.94385,,,Confirmed Contributor
1,42.29315,-71.23525,,,Confirmed Contributor
1,52.25222,-1.38847,,,Confirmed Contributor
2,-6.17476,106.82707,,,Confirmed Contributor
1,63.83394,-20.39786,,,Confirmed Contributor
2,55.5677,38.22788,,,Confirmed Contributor
1,53.20535,50.16312,,,Confirmed Contributor
1,43.51643,1.49832,,,Confirmed Contributor
1,-43.5308,172.638,,,Confirmed Contributor
1,26.35052,-80.08983,,,Confirmed Contributor
1,39.32816,-120.18405,,,Confirmed Contributor
1,49.40192,8.6803,,,Confirmed Contributor
1,45.9931,-123.92063,,,Confirmed Contributor
1,35.96264,-83.91672,,,Confirmed Contributor
1,55.75654,37.61492,,,Confirmed Contributor
1,-23.42732,-51.93696,,,Confirmed Contributor
1,49.89422,10.88553,,,Confirmed Contributor
1,37.62072,-105.74594,,,Confirmed Contributor
1,-23.32343,17.07117,,,Confirmed Contributor
1,51.82068,-1.28679,,,Confirmed Contributor
1,-26.91894,-49.06606,,,Confirmed Contributor
1,39.03297,-76.50146,,,Confirmed Contributor
1,51.81579,-0.81666,,,Confirmed Contributor
1,36.12215,-85.46377,,,Confirmed Contributor
1,52.13159,-106.6606,,,Confirmed Contributor
1,44.31888,11.80139,,,Confirmed Contributor
1,54.78829,24.6607,,,Confirmed Contributor
1,51.38488,-2.36197,,,Confirmed Contributor
1,40.45876,-3.47974,,,Confirmed Contributor
2,37.2705,-79.94058,,,Confirmed Contributor
1,30.46382,-87.31572,,,Confirmed Contributor
1,47.61921,-122.22803,,,Confirmed Contributor
1,-37.81534,144.96323,,,Confirmed Contributor
1,35.72912,-78.90321,,,Confirmed Contributor
1,44.63677,-72.6779,,,Confirmed Contributor
1,27.91272,-15.54124,,,Confirmed Contributor
1,37.15576,-93.37828,,,Confirmed Contributor
1,-30.02768,-51.22864,,,Confirmed Contributor
1,32.81728,34.98876,,,Confirmed Contributor
1,35.58627,-78.65674,,,Confirmed Contributor
2,-33.5637,18.4948,,,Confirmed Contributor
1,33.01969,-96.69759,,,Confirmed Contributor
1,33.90899,-118.00995,,,Confirmed Contributor
1,0.31569,32.57811,,,Confirmed Contributor
1,46.7229,6.59892,,,Confirmed Contributor
1,40.79739,-81.37704,,,Confirmed Contributor
2,25.1317,121.74452,,,Confirmed Contributor
1,24.87529,74.6229,,,Confirmed Contributor
1,49.63501,6.78751,,,Confirmed Contributor
1,48.77933,2.31527,,,Confirmed Contributor
1,-34.90556,-56.18525,,,Confirmed Contributor
1,43.46679,-79.6903,,,Confirmed Contributor
1,49.80762,19.05584,,,Confirmed Contributor
1,59.93848,30.31248,,,Confirmed Contributor
1,45.19793,-93.3872,,,Confirmed Contributor
1,49.07682,-117.7969,,,Confirmed Contributor
1,43.87587,-79.43827,,,Confirmed Contributor
1,-34.60903,-58.37322,,,Confirmed Contributor
1,29.74482,-95.23608,,,Confirmed Contributor
1,40.67867,-3.61586,,,Confirmed Contributor
1,45.39678,-70.03524,,,Confirmed Contributor
1,46.36,8.9708,,,Confirmed Contributor
1,28.6987,-81.30548,,,Confirmed Contributor
1,6.60211,3.41211,,,Confirmed Contributor
1,48.68638,-123.6035,,,Confirmed Contributor
1,46.36547,-62.86694,,,Confirmed Contributor
1,48.69749,8.13726,,,Confirmed Contributor
